"STATE","COUNTY","deaths","population","pop.density","deaths.100k","hisp.latino.pct","black.pct","native.pct","median.age","median.income","pct.public.transpo","high.risk.job","mask.frequent","R.pres.margin","health.condition","avg.temp","mask.mand.days","mask.mand.flag","stay.home.days","stay.home.flag","bars.closed.days","bars.closed.flag","rest.closed.days","rest.closed.flag","county.class"
"FL",41,44,18582,20.5166011946723,236.788289742762,5.8,5.7,0,42.1,43640,0,36.25,44.32,63.96,51,70.4,0,0,31,1,160,1,45,1,2
"FL",43,19,13811,6.60921122528706,137.571500977482,21.3,13,3.8,47.9,40977,1.3,44.12,67.8,46.16,54.4,75.2,0,0,31,1,160,1,45,1,6
"FL",45,45,13639,9.51489088201541,329.936212332282,4.4,16.6,0.4,44.9,47712,0,28.61,46.25,50.57,45.6,70,0,0,31,1,160,1,45,1,3
"FL",47,25,14428,10.8316809933553,173.274189076795,9.4,33.6,0.6,40.9,38569,0.2,31.35,36.73,31.77,48.2,68,0,0,31,1,160,1,45,1,6
"FL",49,45,26937,16.3126316898917,167.056465085199,43.6,7.4,0.1,35.4,38682,2.8,35.38,48.19,45.07,51.6,74.3,0,0,31,1,160,1,45,1,6
"FL",5,394,174705,88.9140967700324,225.52302452706,6.5,10.8,0.3,39.8,54316,1,30.22,55,43.52,46.4,69.8,0,0,31,1,160,1,45,1,3
"FL",51,87,42022,14.0358898049686,207.034410546856,53.7,11,1.4,34,40820,6.6,35.75,65.15,23.01,50.4,75.7,0,0,31,1,160,1,45,1,4
"FL",53,482,193920,158.305166858764,248.556105610561,13.5,4.9,0.3,49,48812,0.3,27.53,59.09,30.2,48.2,73.6,0,0,31,1,160,1,45,1,1
"FL",55,366,106221,40.3004629754945,344.564634111899,20.1,9.4,0.2,53.5,40942,1.1,29.6,63.64,34.38,50.8,74.6,0,0,31,1,160,1,45,1,3
"FL",57,1832,1471968,556.156214176133,124.459227374508,28.7,15.6,0.2,37.2,58884,1.4,23.54,72.36,-6.88,42.8,74.6,0,0,40,1,160,1,45,1,1
"FL",59,49,19617,15.8171903372569,249.783351175001,2.8,6.9,1.4,42.7,39102,0.3,32.81,56.31,78.91,54.7,67.7,0,0,31,1,160,1,45,1,6
"FL",61,306,159923,122.802994415598,191.342083377625,12.4,8.8,0.1,53.5,54740,0.4,26.88,60.89,21.57,41.7,74.3,0,0,31,1,160,1,45,1,3
"FL",63,158,46414,19.5173295276747,340.414530098677,4.9,26.5,0.7,41.7,39872,0.1,28.26,52.77,38.9,52.2,68.3,0,0,31,1,160,1,45,1,6
"FL",65,28,14246,9.19679072855245,196.54639898919,4.1,34.4,0.5,48,47240,0,22.42,68.38,6.89,49.1,69,0,0,31,1,160,1,45,1,2
"FL",67,26,8422,5.98469517459656,308.715269532178,15.7,15.9,0.2,37.3,50165,0.1,24.95,39.11,71.57,49.3,69.6,0,0,31,1,160,1,45,1,9
"FL",69,663,367118,148.962022533287,180.595884701921,15.6,10.2,0.4,46.9,54513,0.3,25.97,63.39,20.04,46.1,73.6,0,0,31,1,160,1,45,1,1
"FL",7,58,28201,37.0401931251318,205.666465728166,4.2,20.2,0.4,39.7,45921,0.5,30.5,38.27,52.63,53.7,70.2,0,0,31,1,160,1,45,1,6
"FL",71,1009,770577,380.945141022497,130.940840435154,21.4,8.1,0.2,48.5,57832,0.7,28.81,64.98,19.18,37.6,76,0,0,31,1,160,1,45,1,2
"FL",73,332,293582,169.580558227796,113.08595213603,6.4,30.6,0.2,31,53106,1.8,18.72,70.16,-28.27,38.8,68.9,0,0,31,1,160,1,45,1,2
"FL",75,56,41503,14.3302402735051,134.930005059875,8.4,8.7,0.1,46.9,37326,0.1,32.4,59.39,45.56,53.1,71.9,0,0,31,1,160,1,45,1,6
"FL",77,16,8354,3.86026685338098,191.52501795547,4.7,15.6,1.2,40.7,38015,0,31.34,48.47,60.43,51.6,69.2,0,0,31,1,160,1,45,1,8
"FL",79,45,18493,10.2511002204093,243.335316065538,5.5,38.2,0.3,43.5,37037,0.7,30.69,34.26,19.5,51.9,68.6,0,0,31,1,160,1,45,1,6
"FL",81,689,403253,209.618840658441,170.86047716942,16.4,8.5,0.2,48.3,59009,0.8,27.52,62.8,16.05,45.4,74.3,0,0,31,1,160,1,45,1,2
"FL",83,996,365579,88.8623088032885,272.444533192552,13.2,12.5,0.3,48.7,45371,0.4,27.3,54.5,25.92,51.9,72.5,0,0,31,1,160,1,45,1,2
"FL",85,335,161000,114.30670590592,208.074534161491,13.6,5.3,0.2,52.2,61133,0.2,24.03,72.07,24.59,39.6,76.4,0,0,31,1,160,1,45,1,2
"FL",86,6472,2716940,552.141766996166,238.209161777588,68.5,15.8,0.1,39.9,51347,4.7,26.52,75.73,-7.35,38.2,77.8,0,0,31,1,181,1,45,1,1
"FL",87,52,74228,29.1539793771243,70.0544269008999,24.3,6.7,0.1,47.7,70033,1,31.02,82.06,7.94,39.2,78.2,0,0,31,1,160,1,45,1,4
"FL",89,127,88625,52.7506036064823,143.300423131171,4.3,6,0.5,45.3,69943,0.2,29.54,47.22,45.91,44.9,69.6,0,0,31,1,160,1,45,1,1
"FL",9,914,601942,228.983018111427,151.841871808247,10.3,9.3,0.3,47.3,56775,0.5,25.63,60.86,16.45,45.4,73.8,0,0,31,1,160,1,45,1,2
"FL",91,367,210738,87.4724601766234,174.149892283309,9.3,9.5,0.2,36.9,63412,0.5,26.81,47.11,39.14,40.5,68.1,0,0,31,1,160,1,45,1,3
"FL",93,89,42168,21.1673338459568,211.06051982546,25.5,7.7,0.5,41.1,41760,0.1,39.43,71.67,44.38,52.2,74.9,0,0,31,1,160,1,45,1,4
"FL",95,1310,1393452,596.453168256918,94.0111320662642,31.6,19.8,0.1,35.1,58254,2.4,25.63,72.56,-23.11,40.5,74,0,0,39,1,160,1,45,1,1
"FL",97,529,375751,109.283029014495,140.784721797148,54.1,9.3,0.2,35.9,52279,1,32.17,72.18,-13.81,47.3,74.2,0,0,39,1,160,1,45,1,1
"FL",99,2883,1496770,294.20482104379,192.614763791364,22.4,18.2,0.1,44.8,63299,1.6,23.54,78.52,-12.79,41.2,76.7,0,0,31,1,181,1,45,1,1
"GA",1,72,18386,13.9666177326092,391.602306102469,9.9,19.3,0.5,40.3,40304,0.3,40.55,41.75,57.04,50.6,67.6,0,0,27,1,69,1,24,1,7
"GA",101,9,4006,3.67911277609465,224.663005491762,27.3,2,2.2,40.6,39494,0.3,33.56,44.8,75.52,48,67.5,0,0,27,1,69,1,24,1,3
"GA",103,72,64296,51.844856556778,111.982082866741,4.4,13.2,0.2,36,66822,0.1,37.32,47.77,49.54,41.7,67.4,0,0,27,1,69,1,24,1,2
"GA",105,74,19194,21.1073348157836,385.537147025112,5.7,29.6,0,42.6,38678,0.1,39.81,50.41,36.48,50.7,62.3,0,0,27,1,69,1,24,1,6
"GA",107,82,22646,12.8474863901671,362.094851187848,4.5,33.9,0.2,36.9,37453,0.7,37.42,50.25,38.57,52.8,65.9,0,0,27,1,69,1,24,1,7
"GA",109,31,10654,22.4912699873772,290.970527501408,11.7,29.6,0.1,37.6,42607,0.3,36.23,37.49,36.82,52,67.3,0,0,27,1,69,1,24,1,6
"GA",11,38,19234,31.9250323092813,197.566808776126,6.9,2.6,0.5,41.1,47811,0.1,39.6,40.14,77.94,44.5,61.5,0,0,27,1,69,1,24,1,8
"GA",111,73,26188,26.1201523557328,278.753627615702,2.4,0.2,0.1,52.1,47997,0.3,31.33,60.11,64.64,45.3,56.8,0,0,27,1,69,1,24,1,8
"GA",113,176,114421,227.067448363241,153.817918039521,7.2,22.5,0.1,43.4,90145,0.9,25.33,50.72,6.8,36.1,62.8,0,0,27,1,69,1,24,1,1
"GA",115,239,98498,74.5968321929386,242.644520700928,11.1,13.9,0.2,38.3,48336,0.4,35.59,39.65,41.07,48.2,61.3,0,0,27,1,69,1,24,1,3
"GA",117,205,244252,419.851809596761,83.9297119368521,9.5,3.3,0.2,38.5,107218,0.6,16.78,64.29,33.17,32.5,60.2,0,0,27,1,69,1,24,1,1
"GA",119,53,23349,34.4943616831814,226.990449269776,4.6,9.3,0.1,41.2,42488,0.3,37.41,42.72,69.43,47.6,61.4,0,0,27,1,69,1,24,1,8
"GA",121,1456,1063937,779.93632120205,136.850208236014,7.2,43.6,0.2,35.5,69673,7.5,18.03,66.39,-46.37,33.1,62,0,0,30,1,69,1,24,1,1
"GA",123,89,31369,28.4168673839116,283.719595779273,11.6,0.4,0.3,47.2,52625,0.2,38.44,54.7,63.51,45.8,57.5,0,0,27,1,69,1,24,1,6
"GA",125,19,2971,7.98013973947221,639.515314708852,1.2,10.2,0.3,42.7,45000,0,39.26,54.23,79.68,49.7,64.2,0,0,27,1,69,1,24,1,9
"GA",127,178,85292,78.4762417957826,208.694836561459,6.6,26.1,0.3,41.6,52977,0.5,29.36,48.75,23.18,41.1,68.6,0,0,27,1,69,1,24,1,3
